Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Contratos:ID del Contrato,Entrega compilada:Contratos:ID de Adjudicación,Entrega compilada:Contratos:Título del contrato,Entrega compilada:Contratos:Descripción del contrato,Entrega compilada:Contratos:Periodo:Fecha de inicio,Entrega compilada:Contratos:Periodo:Fecha de fin,Entrega compilada:Contratos:Periodo:Duración (días),Entrega compilada:Contratos:Valor:Monto,Entrega compilada:Contratos:Valor:Moneda,Entrega compilada:Contratos:Valor:Nombre de Moneda,Entrega compilada:Contratos:Fecha de firma,Entrega compilada:Contratos:Implementación:Valor final:Monto,Entrega compilada:Contratos:Implementación:Valor final:Moneda,Entrega compilada:Contratos:Implementación:Valor final:Nombre de Moneda,Entrega compilada:Contratos:Implementación:Fecha de fin
ocds-dgv273-seacev3-2025-1918-6,ocds-dgv273-seacev3-2025-1918-6-2026-05-30T10:22:59.270152-05:00,2313993,1088890-20602362273,12-2025-SUNARP,Servicio de mensajeria a nivel local y nacional para la Sede Central de la Sunarp,2025-03-21T00:00:00-05:00,2026-03-20T00:00:00-05:00,364,116712.0,PEN,Soles,2025-03-18T00:00:00-05:00,,,,
ocds-dgv273-seacev3-1116840,ocds-dgv273-seacev3-1116840-2026-05-30T10:22:37.407870-05:00,2331559,1116840-1684324,171-2025,"SERVICIO DE CONSULTORÍA DE SUPERVISIÓN DE LA ELABORACIÓN DEL EXPEDIENTE TÉCNICO Y SUPERVISIÓN DE LA EJECUCIÓN DE OBRA, DEL PROYECTO DENOMINADO: CREACIÓN DEL SERVICIO DE MOVILIDAD URBANA EN UN (01) PASO A DESNIVEL ELEVADO (PUENTE VEHICULAR), EN EL EJE VIAL DE LA AV. DEFENSORES DEL MORRO, TRAMO: AV. MALECÓN GRAU - CA. ALAMEDA DON VIRGILIO DISTRITO DE CHORRILLOS DE LA PROVINCIA DE LIMA DEL DEPARTAMENTO DE LIMA, CON CUI N 2666523",2025-06-18T00:00:00-05:00,2027-06-30T00:00:00-05:00,742,24878700.24,PEN,Soles,2025-06-17T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-29-17,ocds-dgv273-seacev3-2025-29-17-2026-05-30T10:22:04.472452-05:00,2348109,1092221-20428698569,028-2025-PCM/OGA,SERVICIO ADMINISTRADO DE INFRAESTRUCTURA MULTINUBE PARA EL ALOJAMIENTO DE LAS PLATAFORMAS DIGITALES ADMINISTRADAS POR LA SUBSECRETARIA DE TECNOLOGÍA Y SEGURIDAD DIGITAL DE LA SECRETARÍA DE GOBIERNO Y TRANSFORMACIÓN DIGITAL DE LA PRESIDENCIA DE CONSEJO DE MINISTROS,2025-09-13T00:00:00-05:00,2028-08-29T00:00:00-05:00,1081,12000021.0,PEN,Soles,2025-09-12T00:00:00-05:00,,,,
ocds-dgv273-seacev3-1089601,ocds-dgv273-seacev3-1089601-2026-05-30T10:22:04.442350-05:00,2315010,1089601-1644748,CONTRATO N°008.A-2025-OGAF-MDV/LC,CONTRATO DE EJECUCION DE OBRA,2025-02-28T00:00:00-05:00,2025-10-31T00:00:00-05:00,245,18946408.51,PEN,Soles,2025-02-27T00:00:00-05:00,,,,2025-10-31T00:00:00-05:00
ocds-dgv273-seacev3-2025-1926-23,ocds-dgv273-seacev3-2025-1926-23-2026-05-29T10:32:41.228313-05:00,2317942,1089446-20549615709,0085-00 2025-JUR000,Contratación del servicio de renovación del soporte técnico y mantenimiento de la solución de trámite documentario electrónico - AXON o equivalente,2025-04-04T00:00:00-05:00,2026-04-03T00:00:00-05:00,364,290000.0,PEN,Soles,2025-03-21T00:00:00-05:00,,,,
ocds-dgv273-seacev3-1088281,ocds-dgv273-seacev3-1088281-2026-05-29T10:32:30.485067-05:00,2309496,1088281-1643072,06,"EJECUCION DE SALDO DEL SALDO DE OBRA MEJORAMIENTO DE LOS SERVICIOS DE SALUD DEL HOSPITAL REGIONAL ZACARIAS CORREA VALDIVIA DE HUANCAVELICA DISTRITO DE ASCENSION, PROVINCIA DE HUANCAVELICA Y DEPARTAMENTO DE HUANCAVELICA, CON CUI N 2354781",2025-02-24T00:00:00-05:00,2025-12-15T00:00:00-05:00,294,221165658.64,PEN,Soles,2025-02-21T00:00:00-05:00,,,,2025-12-15T00:00:00-05:00
ocds-dgv273-seacev3-2025-1867-7,ocds-dgv273-seacev3-2025-1867-7-2026-05-28T10:20:29.077424-05:00,2326548,1093956-1662491,CONTRATO DE EJECUCION DE OBRA N° 004-2025/MPZ-GM,"EJECUCION DE OBRA: ""MEJORAMIENTO DEL SERVICIO DE EDUCACIÓN INICIAL EN I.E. NUBECITAS DE JESÚS DE ZARUMILLA DE LA PROVINCIA DE ZARUMILLA, DEPARTAMENTO DE TUMBES"", CUI N°2604235,",2025-06-10T00:00:00-05:00,2025-07-10T00:00:00-05:00,30,261391.5,PEN,Soles,2025-05-08T00:00:00-05:00,221756.79,PEN,Soles,
ocds-dgv273-seacev3-1093614,ocds-dgv273-seacev3-1093614-2026-05-28T10:20:29.017833-05:00,2321823,1093614-1649949,028-2025-GRH/GGR,CONTRATACION PARA LA EJECUCION DE LA OBRA: MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN LA LOSA DEPORTIVA CON GRASS SINTÉTICO EN LA LOCALIDAD DE JOSÉ MARÍA UGARTECHE DEL DISTRITO DE HERMILIO VALDIZAN DE LA PROVINCIA DE LEONCIO PRADO DEL DEPARTAMENTO DE HUÁNUCO.,2025-04-22T00:00:00-05:00,2025-07-22T00:00:00-05:00,91,1476074.92,PEN,Soles,2025-04-21T00:00:00-05:00,1697234.22,PEN,Soles,2025-10-18T00:00:00-05:00
ocds-dgv273-seacev3-2025-1952-58,ocds-dgv273-seacev3-2025-1952-58-2026-05-28T10:19:46.141374-05:00,2312345,1095298-10403625979,034-2025-OSCE-OAD-PBID,Especialista en inversión pública para el proyecto,2025-02-18T00:00:00-05:00,2025-05-17T00:00:00-05:00,88,36000.0,PEN,Soles,2025-02-18T00:00:00-05:00,,,,2025-09-17T00:00:00-05:00
ocds-dgv273-seacev3-2025-200-8,ocds-dgv273-seacev3-2025-200-8-2026-05-24T10:08:25.041477-05:00,2315003,1090006-20612298123,CONTRATO DE SUBASTA INVERSA ELECTRONICA Nº 04-2024-MPC/CS-2,SUMINISTRO DE COMBUSTIBLE DIESEL B5 S-50 Y GASOHOL REGULAR PARA ABASTECER A LAS UNIDADES VEHICULARES Y OTROS EQUIPOS DE LA MUNICIPALIDAD PROVINCIAL DE CASMA PARA EL AÑO 2025,2025-03-21T00:00:00-05:00,2025-12-31T00:00:00-05:00,285,2217000.0,PEN,Soles,2025-03-21T00:00:00-05:00,1762500.0,PEN,Soles,
ocds-dgv273-seacev3-2025-1963-2,ocds-dgv273-seacev3-2025-1963-2-2026-05-23T10:25:09.864251-05:00,2332381,1093749-20602364373,008-2025-OAF-CP-INDECOPI,SERVICIO DE NOTIFICACIONES A NIVEL NACIONAL ENVIADA DESDE LA SEDE CENTRAL DEL INDECOPI,2025-06-19T00:00:00-05:00,2026-08-17T00:00:00-05:00,424,433312.0,PEN,Soles,2025-06-18T00:00:00-05:00,528875.0,PEN,Soles,
ocds-dgv273-seacev3-2025-399-8,ocds-dgv273-seacev3-2025-399-8-2026-05-23T10:24:49.807113-05:00,2330005,1087998-1666017,021-2025-MDCC,"CONTRATACIÓN DE LA EJECUCIÓN DE LA OBRA CREACION DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO EN LA ASOC. URBANIZADORA JOSÉ LUIS BUSTAMANTE Y RIVERO SECTOR X - XII Y ASOC. DE VIVIENDA TALLER GRANJA LA CABAÑA DE PERUARBO SECTOR ARGENTINA, DISTRITO DE CERRO COLORADO - PROVINCIA DE AREQUIPA - DEPARTAMENTO DE AREQUIPA",2025-06-06T00:00:00-05:00,2026-11-28T00:00:00-05:00,540,33601899.74,PEN,Soles,2025-06-06T00:00:00-05:00,,,,2026-12-25T00:00:00-05:00
ocds-dgv273-seacev3-2025-1926-1,ocds-dgv273-seacev3-2025-1926-1-2026-05-23T10:24:17.746940-05:00,2333550,1088694-20266369493,0119-00 2025-JUR000,Contratación de servicio de encuesta de pagos digitales a comercios y personas naturales,2025-04-04T00:00:00-05:00,2025-06-13T00:00:00-05:00,70,109500.0,PEN,Soles,2025-04-03T00:00:00-05:00,,,,2025-06-13T00:00:00-05:00
ocds-dgv273-seacev3-2025-1952-41,ocds-dgv273-seacev3-2025-1952-41-2026-05-23T10:24:17.731544-05:00,2312369,1093946-10400820142,044-2025-OSCE-OAD-PBID,Líder técnico para implementación del Sistema de gestión de cobranza coactiva,2025-03-03T00:00:00-05:00,2025-06-02T00:00:00-05:00,91,30000.0,PEN,Soles,2025-02-28T00:00:00-05:00,,,,2025-08-02T00:00:00-05:00
ocds-dgv273-seacev3-2025-32-7,ocds-dgv273-seacev3-2025-32-7-2026-05-23T10:23:55.636380-05:00,2329910,1091471-1654933,CONTRATO DE GERENCIA GENERAL REGIONAL N° 28-2025-GRA-GG,"CONTRATACIÓN DEL SERVICIO DE LA CONSULTORÍA DE OBRA PARA LA SUPERVISIÓN DE LA EJECUCIÓN DE LA OBRA :""MEJORAMIENTO DEL SERVICIO EDUCATIVO PRIMARIO EN LA I.E N° 17056 LIMONYACU, N° 16693 SANTA ROSA, N°17796 EL MANANTIAL, N°17777 BELLANDINA, N°16212 SECTOR GONCHA, N° 16598 EL PALAMO, DEL DISTRITO DE BAGUA GRANDE, REGION AMAZONAS; META N°16598 EL PALMO, CON CUI N° 2195273",2025-04-23T00:00:00-05:00,2025-09-05T00:00:00-05:00,135,140257.84,PEN,Soles,2025-04-22T00:00:00-05:00,187507.84,PEN,Soles,2025-09-08T00:00:00-05:00
ocds-dgv273-seacev3-2025-43-31,ocds-dgv273-seacev3-2025-43-31-2026-05-22T10:33:26.182573-05:00,2330008,1089246-20600721179,02-2025-GR.LAMB/ORAD,"CONTRATACION DE LA EJECUCION DE LA OBRA DEL PROYECTO DE INVERSION PUBLICA DENOMINADO: MEJORAMIENTO DE LOS SERVICIOS DE TRANSITABILIDAD PEATONAL, VEHICULAR DE LAS CALLES COMPRENDIDAS EN LA URBANIZACION FERMÍN ÁVILA MORÓN DISTRITO DE PIMENTEL - CHICLAYO - LAMBAYEQUE, CON CUI N 2405410.",2025-06-20T00:00:00-05:00,2026-04-20T00:00:00-05:00,304,11809593.72,PEN,Soles,2025-06-05T00:00:00-05:00,12053807.26,PEN,Soles,
ocds-dgv273-seacev3-2025-1603-3,ocds-dgv273-seacev3-2025-1603-3-2026-05-22T10:32:31.470922-05:00,2319385,1090476-20611137592,CONTRATO Nº 06-2025-MPH-OL,ADQUISICION DE SUMINISTRO DE COMBUSTIBLE DIESEL B5 S-50 Y GASOHOL REGULAR PARA EL ABASTECIMIENTO DE LAS UNIDADES MOVILES DE LA MUNICIPALIDAD PROVINCNIAL DE HBBA,2025-03-19T00:00:00-05:00,2025-12-31T00:00:00-05:00,287,830940.0,PEN,Soles,2025-03-18T00:00:00-05:00,1038674.99,PEN,Soles,
ocds-dgv273-seacev3-2025-1603-3,ocds-dgv273-seacev3-2025-1603-3-2026-05-22T10:32:31.470922-05:00,2346389,1090476-20611137592,066-2025,adquisicion de suministro de combustible diesel b5 s-50 y gasohol regular par el abastecimeinto de las unidades moviles de la mph,2025-03-19T00:00:00-05:00,2025-12-19T00:00:00-05:00,275,205751.0,PEN,Soles,2025-03-18T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-817-2,ocds-dgv273-seacev3-2025-817-2-2026-05-21T10:32:00.677401-05:00,2310779,1088636-10249937814,ORDEN DE COMPRA N° 52-2025,"CONTRATACIÓN DE SUMINISTRO DE COMBUSTIBLE PARA EL PROYECTO (0019) MEJORAMIENTO DE SERVICIOS DE APOYO AL DESARROLLO PRODUCTIVO DE LOS PRODUCTORES DE PALTAS EN EL DISTRITO DE OCOBAMBA, PROVINCIA DE LA CONVENCIÓN Y DEPARTAMENTO DE CUSCO.",2025-03-01T00:00:00-05:00,2025-03-05T00:00:00-05:00,4,37500.0,PEN,Soles,2025-02-28T00:00:00-05:00,,,,
ocds-dgv273-seacev3-1095527,ocds-dgv273-seacev3-1095527-2026-05-21T10:31:49.922327-05:00,2322507,1095527-20477630961,CONTRATO DE BIENES N° 04 ¿ 2025 ¿ MDP,CONTRATACIÓN DE BIENES ADQUISICION DE COMBUSTIBLE DIESEL B5 S-50 UV Y GASOHOL REGULAR PARA VEHICULOS Y MAQUINARIAS DE LA MUNICIPALIDAD DISTRITAL DE PAIJAN-PERIODO 2025. ITEM N°02: GASOHOL REGULAR,2025-05-25T00:00:00-05:00,2025-12-31T00:00:00-05:00,220,56710.8,PEN,Soles,2025-03-25T00:00:00-05:00,,,,
ocds-dgv273-seacev3-1095527,ocds-dgv273-seacev3-1095527-2026-05-21T10:31:49.922327-05:00,2322500,1095527-20477630961,CONTRATO DE BIENES N° 03 ¿ 2025 ¿ MDP,CONTRATACIÓN DE BIENES ADQUISICION DE COMBUSTIBLE DIESEL B5 S-50 UV Y GASOHOL REGULAR PARA VEHICULOS Y MAQUINARIAS DE LA MUNICIPALIDAD DISTRITAL DE PAIJAN-PERIODO 2025. ITEM N°01: DIESEL B5 S50,2025-03-25T00:00:00-05:00,2025-12-31T00:00:00-05:00,281,337828.4,PEN,Soles,2025-03-25T00:00:00-05:00,396068.4,PEN,Soles,
ocds-dgv273-seacev3-1088648,ocds-dgv273-seacev3-1088648-2026-05-21T10:31:39.285245-05:00,2326843,1088648-20494233577,76,"CONTRATACIÓN DE SERVICIO DE ALQUILER DE 2 MOTONIVELADORAS A TODO COSTO PARA LA OBRA: ""MEJORAMIENTO Y AMPLIACION DE LA CARRETERA EMP. PE ¿ 32A (MINASCUCHO) ¿ LLACHOCCMAYO - ALLPACHACA ¿ MUNAYPATA - EMP. AY-106 (ROSASPATA), DISTRITOS DE CHIARA, LOS MOROCHUCOS Y VINCHOS DE LAS PROVINCIAS DE HUAMANGA Y",2025-05-06T00:00:00-05:00,2025-12-01T00:00:00-05:00,209,563200.0,PEN,Soles,2025-05-05T00:00:00-05:00,872960.0,PEN,Soles,2025-12-29T00:00:00-05:00
ocds-dgv273-seacev3-1091022,ocds-dgv273-seacev3-1091022-2026-05-21T10:31:28.017340-05:00,2314002,1091022-1647956,CONTRATO N° 001-2025-OGAF/MDCH,"CONTRATACION DE CONSULTOR DE OBRA PARA LA SUPERVISION DE LA OBRA: ""MEJORAMIENTO DEL SERVICIO DE PRACTICA DEPORTIVA Y/O RECREATIVA EN COMPLEJO DEPORTIVO JACINTO ROQUE RUEDA DEL CENTRO POBLADO OLOF PALME, DISTRITO DE CHILCA, PROVINCIA DE CAÑETE - DEPARTAMENTO DE LIMA"", CUI N 2651883",2025-03-24T00:00:00-05:00,2025-10-20T00:00:00-05:00,210,180000.0,PEN,Soles,2025-03-10T00:00:00-05:00,,,,2025-12-27T00:00:00-05:00
ocds-dgv273-seacev3-1091055,ocds-dgv273-seacev3-1091055-2026-05-21T10:31:16.412095-05:00,2324216,1091055-1656287,CONTRATO DE EJECUCIÓN DE OBRA N° 001 ¿ 2025-UNAJ-P-DGA,"CONTRATACION DE EJECUCION DE OBRA DEL PROYECTO: ""MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE FORMACION DE PREGRADO EN EDUCACION SUPERIOR UNIVERSITARIA DE LA ESCUELA PROFESIONAL DE INGENIERA INDUSTRIAL, ESCUELA PROFESIONAL DE SOFWARE Y SISTEMAS, ESCUELA PROFESIONAL DE INGENIERIA MECATRONICA DE LA UNIVERSIDAD NACIONAL DE JULIACA EN LA SEDE DE AYABACAS, AYABACAS DEL DISTRITO DE SAN MIGUEL - PROVINCIA DE SAN ROMAN - DEPARTAMENTO DE PUNO"" CUI 2568244.",2025-05-06T00:00:00-05:00,2027-11-30T00:00:00-05:00,938,57947438.75,PEN,Soles,2025-05-05T00:00:00-05:00,,,,
ocds-dgv273-seacev3-1119482,ocds-dgv273-seacev3-1119482-2026-05-20T10:31:14.095355-05:00,2342641,1119482-1691485,09-2025/Z.R.N°II-SCH,MEJORAMIENTO Y AMPLICACION DE LA CAPACIDAD DE SERVICIO DE LA OFICINA REGISTRAL DE BAGUA - ZONA REGISTRAL N° II,2025-08-05T00:00:00-05:00,2026-09-30T00:00:00-05:00,421,6796515.62,PEN,Soles,2025-08-04T00:00:00-05:00,,,,
ocds-dgv273-seacev3-1092752,ocds-dgv273-seacev3-1092752-2026-05-20T10:31:13.489832-05:00,2331421,1092752-1650699,CONTRATO N°95-2025-GRA,"SERVICIO DE REHABILITACION Y REFORZAMIENTO DE COBERTURA LIVIANA PARA EL MANTENIMIENTO DE COLISEO JULIO ERNESTO GRANDA, DISTRITO DE CAMANA, REGION AREQUIPA",2025-06-04T00:00:00-05:00,2025-06-21T00:00:00-05:00,17,460000.0,PEN,Soles,2025-06-03T00:00:00-05:00,,,,2025-06-21T00:00:00-05:00
ocds-dgv273-seacev3-1120615,ocds-dgv273-seacev3-1120615-2026-05-20T10:31:02.919207-05:00,2338969,1120615-20603202954,CONTRATO DE EJECUCION DE OBRA Nº 042-2025-MPHZ/GM,"CONTRATACIÓN DE LA EJECUCIÓN DE LA OBRA: ""RENOVACIÓN DE CAPTACIONES DE AGUA, LÍNEA DE CONDUCCIÓN Y OBRAS DE ARTE EN EL (LA) SISTEMA DE RIEGO EN LAS LOCALIDADES DE HUALLOPAMPA, SEKSIJIRCA Y CRUZJIRCA, DEL C.P. DE MATAQUITA, DISTRITO DE JANGAS, PROVINCIA HUARAZ, DEPARTAMENTO ANCASH"" CUI Nº: 2611547",2025-08-11T00:00:00-05:00,2025-10-25T00:00:00-05:00,75,504933.81,PEN,Soles,2025-07-14T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-200363-100,ocds-dgv273-seacev3-2025-200363-100-2026-05-20T10:30:30.706186-05:00,2323110,1093165-20606823976,154-2025-CENARES/MINSA,ADQUISICIÓN DE DISPOSITIVOS MÉDICOS - COMPRA CENTRALIZADA PARA EL ABASTECIMIENTO POR UN PERIODO DE DOCE (12) MESES - SIETE (07 ÍTEMS) - ÍTEMS N° 03 Y 04,2025-04-29T00:00:00-05:00,2026-07-31T00:00:00-05:00,458,8141299.0,PEN,Soles,2025-04-28T00:00:00-05:00,,,,2026-07-31T00:00:00-05:00
ocds-dgv273-seacev3-2025-200363-100,ocds-dgv273-seacev3-2025-200363-100-2026-05-20T10:30:30.706186-05:00,2323367,1093165-20608415247,157-2025-CENARES/MINSA,ADQUISICION DE DISPOSITIVOS MÉDICOS - COMPRA CENTRALIZADA PARA EL ABASTECIMIENTO POR UN PERIODO DE DOCE (12) MESES - SIETE (07 ITEMS),2025-04-30T00:00:00-05:00,2026-08-31T00:00:00-05:00,488,615441.5,PEN,Soles,2025-04-29T00:00:00-05:00,,,,2026-09-02T00:00:00-05:00
ocds-dgv273-seacev3-2025-200363-100,ocds-dgv273-seacev3-2025-200363-100-2026-05-20T10:30:30.706186-05:00,2323698,1093165-20555589574,158-2025-CENARES-MINSA,ADQUISICION DE DISPOSITIVO MEDICO - COMPRA CENTRALIZADA PARA EL ABASTECIMIENTO POR UN PERIODO DE 12 MESES - 07 ITEMS,2025-05-01T00:00:00-05:00,2026-07-31T00:00:00-05:00,456,5224602.9,PEN,Soles,2025-04-30T00:00:00-05:00,,,,2026-08-01T00:00:00-05:00
ocds-dgv273-seacev3-2025-200363-100,ocds-dgv273-seacev3-2025-200363-100-2026-05-20T10:30:30.706186-05:00,2323567,1093165-20506744874,CONTRATO N° 160-2025-CENARES/MINSA,ADQUISICION DE DISPOSITIVOS MEDICOS - COMPRA CENTRALIZADA PARA EL ABASTECIMIENTO POR UN PERIODO DE DOCE (12) MESES - SIETE (07 ITEMS) - ITEM N° 7,2025-05-06T00:00:00-05:00,2026-11-30T00:00:00-05:00,573,2266363.0,PEN,Soles,2025-05-05T00:00:00-05:00,,,,
