Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Contratos:ID del Contrato,Entrega compilada:Contratos:ID de Adjudicación,Entrega compilada:Contratos:Título del contrato,Entrega compilada:Contratos:Descripción del contrato,Entrega compilada:Contratos:Periodo:Fecha de inicio,Entrega compilada:Contratos:Periodo:Fecha de fin,Entrega compilada:Contratos:Periodo:Duración (días),Entrega compilada:Contratos:Valor:Monto,Entrega compilada:Contratos:Valor:Moneda,Entrega compilada:Contratos:Valor:Nombre de Moneda,Entrega compilada:Contratos:Fecha de firma,Entrega compilada:Contratos:Implementación:Fecha de fin,Entrega compilada:Contratos:Implementación:Valor final:Monto,Entrega compilada:Contratos:Implementación:Valor final:Moneda,Entrega compilada:Contratos:Implementación:Valor final:Nombre de Moneda
ocds-dgv273-seacev3-1089627,ocds-dgv273-seacev3-1089627-2026-05-31T10:14:37.914337-05:00,2319520,1089627-1645789,CONTRATO N° 16-2025--GOB.REG.TACNA,CONTRATACIÓN DEL SERVICIO DE CONSULTORIA DE OBRA SUPERVISION DE OBRA MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL NIVEL PRIMARIA DE LA I.E. 42020 ALMIRANTE MIGUEL GRAU EN EL DISTRITO DE TACNA PROVINCIA DE TACNA DEPARTAMENTO DE TACNA,2025-04-15T00:00:00-05:00,2025-12-25T00:00:00-05:00,254,1061179.94,PEN,Soles,2025-04-14T00:00:00-05:00,2026-01-26T00:00:00-05:00,,,
ocds-dgv273-seacev3-2025-200426-2,ocds-dgv273-seacev3-2025-200426-2-2026-05-30T10:21:53.306353-05:00,2313347,1086698-20604742821,CONTRATO N° 03-2025-P-CSJAR-PJ,ERVICIO DE MANTENIMIENTO CORRECTIVO Y PREVENTIVO DE ASCENSORES DE LA  CORTE SUPERIOR DE JUSTICIA  DE AREQUIPA,2025-03-03T00:00:00-05:00,2027-03-02T00:00:00-05:00,729,258703.2,PEN,Soles,2025-02-28T00:00:00-05:00,,257523.2,PEN,Soles
ocds-dgv273-seacev3-2025-11-20,ocds-dgv273-seacev3-2025-11-20-2026-05-29T10:32:41.265232-05:00,2320440,1086085-20517372294,004-2025-MIDAGRI-SG/OGA,CONTRATACION DEL SERVICIO DE EMISIÓN DE TARJETAS ELECTRÓNICAS Y RECARGAS MENSUALES PARA LOS SERVIDORES DEL MINISTERIO DE DESARROLLO AGRARIO Y RIEGO- MIDAGRI- DECRETO LEGISLATIVO N° 276,2025-03-11T00:00:00-05:00,2026-03-10T00:00:00-05:00,364,1549203.04,PEN,Soles,2025-03-10T00:00:00-05:00,,1876141.81,PEN,Soles
ocds-dgv273-seacev3-2025-1249-1,ocds-dgv273-seacev3-2025-1249-1-2026-05-29T10:31:47.016649-05:00,2314560,1086693-1642612,CONTRATO DE EJECUCION DE OBRA Nº 001-2025-GM/MDM  AS N° 001-2025-MDM/CS PRIMERA CONVOCATORIA,"EJECUCION DE OBRA: MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE RURAL Y MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICIÓN SANITARIA DE EXCRETAS EN EL CASERIOS DE HUARANA DEL DISTRITO DE MOLLEPATA DE LA PROVINCIA DE SANTIAGO DE CHUCO DEL DEPARTAMENTO DE LA LIBERTAD, con CUI N° 2631825",2025-03-21T00:00:00-05:00,2025-10-31T00:00:00-05:00,224,3997985.87,PEN,Soles,2025-03-18T00:00:00-05:00,2025-12-05T00:00:00-05:00,3911287.0,PEN,Soles
ocds-dgv273-seacev3-2025-278-23,ocds-dgv273-seacev3-2025-278-23-2026-05-28T10:20:19.290546-05:00,2312161,1086362-1641187,CONTRATO N° 65-2025-OLOCP-MDNCH,"CONTRATO N° 65-2025-OLOCP-MDCNH; CONTRATACIÓN PARA LA EJECUCIÓN DE LA OBRA: CREACION DEL CAMPO DEPORTIVO EN LA MZ. Q LOTE  1 EN EL A.H. LOS ANGELES DEL DISTRITO DE NUEVO CHIMBOTE, PROVINCIA DE SANTA, DEPARTAMENTO DE ANCASH, CON CODIGO DE INVERSIONES (CUI) 2567486.",2025-03-06T00:00:00-05:00,2025-09-01T00:00:00-05:00,179,3920346.24,PEN,Soles,2025-03-05T00:00:00-05:00,2025-11-10T00:00:00-05:00,4497510.38,PEN,Soles
ocds-dgv273-seacev3-2025-1903-52,ocds-dgv273-seacev3-2025-1903-52-2026-05-23T10:24:49.833971-05:00,2314188,1087617-20100070970,004-2025-UNHEVAL,"ADQUISICIÓN DE TARJETAS ELECTRÓNICAS DE CONSUMO MENSUAL PARA EL PERSONAL DOCENTE, NO DOCENTE Y PERSONAL CAS DE LA UNIVERSIDAD NACIONAL HERMILIO VALDIZAN.",2025-03-23T00:00:00-05:00,2026-02-23T00:00:00-05:00,337,2308739.4,PEN,Soles,2025-03-18T00:00:00-05:00,,2063049.45,PEN,Soles
ocds-dgv273-seacev3-1102116,ocds-dgv273-seacev3-1102116-2026-05-23T10:24:39.902015-05:00,2327185,1102116-20455403759,CONTRATO ADJUDICACION SIMPLIFICADA  N° 001¿2025-MDJLBYR-1,CONTRATACIÓN DE SUMINISTRO DE BIENES PARA LA ADQUISICION DE LECHE EVAPORADA ENTERA X 410 GR PARA EL PROGRAMA DE VASO DE LECHE DE LA MUNICIPALIDAD DISTRITAL DE JOSE LUIS BUSTAMANTE Y RIVERO POR 12,2025-06-13T00:00:00-05:00,2026-06-30T00:00:00-05:00,382,234000.0,PEN,Soles,2025-05-12T00:00:00-05:00,,253500.0,PEN,Soles
ocds-dgv273-seacev3-1086906,ocds-dgv273-seacev3-1086906-2026-05-23T10:24:17.763688-05:00,2323448,1086906-20100128218,G-027-2025,CONTRATACIÓN DIRECTA PARA LA ADQUISICIÓN DE PETRÓLEO INDUSTRIAL N° 6 PARA LOS GRUPOS ELECTRÓGENOS DE LA CENTRAL TÉRMICA IQUITOS.,2025-02-14T00:00:00-05:00,2026-02-13T00:00:00-05:00,364,18319806.0,PEN,Soles,2025-02-13T00:00:00-05:00,,,,
ocds-dgv273-seacev3-1106974,ocds-dgv273-seacev3-1106974-2026-05-22T10:32:42.208310-05:00,2336197,1106974-20600472233,027-2025-GM-MDP,"CONTRATO PARA LA EJECUCIÓN DE LA OBRA DENOMINADA: "" MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE URBANO EN A TRAVES DE POZO TUBULAR Y RESERVORIO ELEVADO EN LA ZONA SUR DISTRITO DE PARCONA, DE LA PROVINCIA DE ICA DEL DEPARTAMENTO DE ICA¿.",2025-07-11T00:00:00-05:00,2026-07-06T00:00:00-05:00,360,7154708.4,PEN,Soles,2025-07-10T00:00:00-05:00,,7289977.07,PEN,Soles
ocds-dgv273-seacev3-1087398,ocds-dgv273-seacev3-1087398-2026-05-22T10:32:20.488036-05:00,2317564,1087398-1648470,CONTRATO DE SERVICIO DE CONSULTORÍA N° 011-2025-OGA/MDM,"CONTRATACIÓN DE SERVICIO DE CONSULTORÍA DE OBRA PARA LA SUPERVISIÓN DE LA OBRA: MEJORAMIENTO DEL SERVICIO EDUCATIVO DE LA INSTITUCIÓN EDUCATIVA INTEGRADA JAIME CERRÓN PALOMINO, DISTRITO DE MAZAMARI - SATIPO - JUNÍN",2025-04-04T00:00:00-05:00,2026-05-27T00:00:00-05:00,418,609162.07,PEN,Soles,2025-04-03T00:00:00-05:00,,,,
